,country,age,gender,marital_status,education_level,heard_of_mobile_money
166,nigeria,32.0,2,3,11,2
167,nigeria,31.0,2,3,11,1
168,nigeria,29.0,2,1,11,2
169,nigeria,31.0,1,3,11,2
170,nigeria,22.0,1,1,5,2
171,nigeria,26.0,1,1,10,1
172,nigeria,23.0,2,1,9,1
173,nigeria,28.0,2,3,9,2
174,nigeria,27.0,1,1,5,2
175,nigeria,40.0,2,6,1,2
176,nigeria,19.0,1,1,5,2
177,nigeria,30.0,1,1,11,2
178,nigeria,25.0,1,1,4,2
179,nigeria,30.0,1,1,11,2
180,nigeria,23.0,1,1,11,2
181,nigeria,24.0,1,1,10,2
182,nigeria,28.0,2,1,10,2
183,nigeria,31.0,1,1,12,2
184,nigeria,28.0,1,1,10,2
185,nigeria,24.0,1,1,6,2
186,nigeria,41.0,2,3,5,2
187,nigeria,30.0,1,1,9,2
188,nigeria,27.0,1,1,9,2
189,nigeria,28.0,1,1,5,2
190,nigeria,27.0,1,1,8,1
191,nigeria,20.0,2,1,5,2
192,nigeria,38.0,1,1,8,1
193,nigeria,26.0,1,1,10,2
194,nigeria,26.0,2,3,7,2
195,nigeria,29.0,2,3,5,2
196,nigeria,23.0,1,1,5,2
197,nigeria,19.0,2,1,5,2
198,nigeria,20.0,2,1,4,2
199,nigeria,32.0,1,1,5,2
200,nigeria,22.0,1,1,6,2
201,nigeria,19.0,1,1,6,2
202,nigeria,23.0,1,1,5,2
203,nigeria,24.0,1,1,10,1
204,nigeria,25.0,2,1,11,2
205,nigeria,24.0,2,1,10,2
206,nigeria,30.0,1,1,9,1
207,nigeria,22.0,1,1,5,1
208,nigeria,26.0,2,1,11,1
209,nigeria,25.0,2,1,8,1
210,nigeria,24.0,2,1,10,1
211,nigeria,30.0,2,3,9,2
212,nigeria,21.0,1,3,5,2
213,nigeria,47.0,1,3,5,2
214,nigeria,41.0,1,3,5,1
215,nigeria,35.0,2,3,9,2
216,nigeria,23.0,1,1,5,2
217,nigeria,20.0,2,1,5,2
218,nigeria,35.0,1,3,10,2
219,nigeria,18.0,2,1,5,2
220,nigeria,20.0,1,1,5,1
221,nigeria,31.0,1,1,8,1
222,nigeria,32.0,1,1,8,2
223,nigeria,20.0,2,1,5,2
224,nigeria,25.0,2,1,5,2
225,nigeria,23.0,1,1,10,1
226,nigeria,21.0,1,1,10,1
227,nigeria,21.0,1,1,10,1
228,nigeria,23.0,1,1,10,1
229,nigeria,48.0,1,2,4,2
230,nigeria,22.0,1,1,5,2
231,nigeria,19.0,1,1,6,2
232,nigeria,25.0,1,1,4,2
233,nigeria,21.0,2,1,5,2
234,nigeria,29.0,2,1,5,2
235,nigeria,32.0,1,1,3,2
236,nigeria,24.0,1,1,5,2
237,nigeria,43.0,2,3,8,1
238,nigeria,20.0,1,1,5,2
239,nigeria,26.0,2,1,10,1
240,nigeria,32.0,1,1,10,1
241,nigeria,29.0,1,1,4,2
242,nigeria,27.0,2,3,5,2
243,nigeria,20.0,2,1,5,2
244,nigeria,27.0,1,1,11,2
245,nigeria,31.0,2,3,4,2
246,nigeria,22.0,1,1,5,2
247,nigeria,23.0,2,1,4,2
248,nigeria,25.0,1,1,5,1
249,nigeria,25.0,1,1,5,2
250,nigeria,23.0,1,1,4,2
251,nigeria,29.0,2,3,5,2
252,nigeria,23.0,1,1,5,1
253,nigeria,48.0,1,3,5,1
254,nigeria,32.0,2,3,5,2
255,nigeria,52.0,1,1,9,1
256,nigeria,23.0,1,1,8,1
257,nigeria,20.0,1,1,5,2
258,nigeria,22.0,1,1,10,2
259,nigeria,29.0,2,1,9,1
260,nigeria,62.0,2,6,3,2
261,nigeria,24.0,2,7,5,2
262,nigeria,17.0,2,1,5,1
263,nigeria,18.0,2,1,4,2
264,nigeria,36.0,1,3,9,2
265,nigeria,30.0,1,1,3,2
266,nigeria,26.0,2,3,4,2
267,nigeria,29.0,1,7,5,2
268,nigeria,22.0,2,3,5,2
269,nigeria,53.0,2,3,4,2
270,nigeria,22.0,1,1,5,1
271,nigeria,37.0,2,3,3,2
272,nigeria,32.0,1,1,4,2
273,nigeria,19.0,2,1,5,2
274,nigeria,49.0,1,3,9,2
275,nigeria,20.0,1,1,5,2
276,nigeria,19.0,2,1,4,2
277,nigeria,17.0,2,3,5,2
278,nigeria,18.0,1,1,4,2
279,nigeria,28.0,1,1,10,1
280,nigeria,55.0,1,5,2,2
281,nigeria,20.0,2,1,5,2
282,nigeria,32.0,1,1,8,1
283,nigeria,28.0,1,3,5,2
284,nigeria,23.0,1,2,5,2
285,nigeria,23.0,2,1,5,2
286,nigeria,29.0,1,1,5,2
287,nigeria,27.0,2,3,5,2
288,nigeria,30.0,1,1,5,2
289,nigeria,24.0,2,1,10,1
290,nigeria,22.0,1,1,5,2
291,nigeria,25.0,1,1,9,1
292,nigeria,23.0,1,1,5,2
293,nigeria,25.0,1,1,5,1
294,nigeria,18.0,2,1,5,1
295,nigeria,31.0,2,3,5,1
296,nigeria,19.0,1,1,6,1
297,nigeria,18.0,2,1,5,2
298,nigeria,28.0,1,1,10,1
299,nigeria,40.0,2,3,8,2
300,nigeria,22.0,2,3,11,2
301,nigeria,39.0,2,3,5,2
302,nigeria,22.0,2,1,5,1
303,nigeria,30.0,1,1,5,1
304,nigeria,19.0,1,1,5,2
305,nigeria,28.0,1,3,5,1
306,nigeria,26.0,2,1,11,1
307,nigeria,31.0,1,1,11,1
308,nigeria,26.0,2,3,5,1
309,nigeria,26.0,2,1,9,1
310,nigeria,18.0,1,1,4,2
311,nigeria,28.0,1,3,5,1
312,nigeria,40.0,2,3,3,2
313,nigeria,28.0,1,1,5,1
314,nigeria,25.0,2,1,4,2
315,nigeria,20.0,1,1,5,2
316,nigeria,25.0,2,1,4,2
317,nigeria,62.0,2,2,5,2
318,nigeria,19.0,1,1,4,2
319,nigeria,18.0,2,1,5,2
