,country,age,gender,marital_status,education_level,funnel|exposure,funnel|enrollment,funnel|usage_basic,funnel|usage_sophisticated,funnel|usage,funnel|recent,funnel|longevity,funnel|frequent,funnel|retention
88,nigeria,26.0,1,1,5,False,False,False,False,False,False,False,False,False
89,nigeria,21.0,2,1,5,False,False,False,False,False,False,False,False,False
90,nigeria,15.0,2,1,4,False,False,False,False,False,False,False,False,False
91,nigeria,40.0,2,3,5,False,False,False,False,False,False,False,False,False
92,nigeria,40.0,1,3,5,False,False,False,False,False,False,False,False,False
93,nigeria,17.0,1,1,5,False,False,False,False,False,False,False,False,False
94,nigeria,30.0,1,1,5,True,False,False,False,False,False,False,False,False
95,nigeria,24.0,2,1,11,True,False,False,False,False,False,False,False,False
96,nigeria,42.0,1,3,11,False,False,False,False,False,False,False,False,False
97,nigeria,26.0,1,1,5,True,False,False,False,False,False,False,False,False
98,nigeria,35.0,1,3,11,False,False,False,False,False,False,False,False,False
99,nigeria,31.0,2,3,6,False,False,False,False,False,False,False,False,False
100,nigeria,19.0,1,1,5,False,False,False,False,False,False,False,False,False
101,nigeria,24.0,2,1,5,False,False,False,False,False,False,False,False,False
102,nigeria,25.0,2,1,8,False,False,False,False,False,False,False,False,False
103,nigeria,52.0,1,3,10,True,False,False,False,False,False,False,False,False
104,nigeria,51.0,2,5,3,False,False,False,False,False,False,False,False,False
105,nigeria,46.0,2,1,3,False,False,False,False,False,False,False,False,False
106,nigeria,35.0,1,1,11,True,False,False,False,False,False,False,False,False
107,nigeria,55.0,1,3,5,False,False,False,False,False,False,False,False,False
108,nigeria,23.0,1,1,5,True,False,False,False,False,False,False,False,False
109,nigeria,56.0,2,3,2,False,False,False,False,False,False,False,False,False
110,nigeria,27.0,1,1,5,False,False,False,False,False,False,False,False,False
111,nigeria,60.0,2,6,2,False,False,False,False,False,False,False,False,False
112,nigeria,25.0,1,1,5,False,False,False,False,False,False,False,False,False
113,nigeria,18.0,1,1,3,False,False,False,False,False,False,False,False,False
114,nigeria,21.0,1,1,11,False,False,False,False,False,False,False,False,False
115,nigeria,24.0,2,1,5,True,False,False,False,False,False,False,False,False
116,nigeria,34.0,1,1,5,True,False,False,False,False,False,False,False,False
117,nigeria,35.0,2,3,6,False,False,False,False,False,False,False,False,False
118,nigeria,78.0,1,3,5,False,False,False,False,False,False,False,False,False
119,nigeria,72.0,2,6,2,False,False,False,False,False,False,False,False,False
120,nigeria,35.0,2,3,8,False,False,False,False,False,False,False,False,False
121,nigeria,39.0,2,3,4,False,False,False,False,False,False,False,False,False
122,nigeria,21.0,2,1,5,False,False,False,False,False,False,False,False,False
123,nigeria,52.0,1,3,4,False,False,False,False,False,False,False,False,False
124,nigeria,24.0,1,1,10,True,False,False,False,False,False,False,False,False
125,nigeria,25.0,2,3,5,False,False,False,False,False,False,False,False,False
126,nigeria,32.0,1,1,6,False,False,False,False,False,False,False,False,False
127,nigeria,36.0,1,1,4,False,False,False,False,False,False,False,False,False
128,nigeria,38.0,1,1,9,False,False,False,False,False,False,False,False,False
129,nigeria,32.0,1,1,9,False,False,False,False,False,False,False,False,False
130,nigeria,26.0,2,3,11,True,False,False,False,False,False,False,False,False
131,nigeria,26.0,2,3,5,True,False,False,False,False,False,False,False,False
132,nigeria,23.0,1,1,7,True,False,False,False,False,False,False,False,False
133,nigeria,23.0,2,1,5,True,False,False,False,False,False,False,False,False
134,nigeria,28.0,2,1,12,True,False,False,False,False,False,False,False,False
135,nigeria,23.0,1,1,5,False,False,False,False,False,False,False,False,False
